"CRN","Subject","Course","Section","Title","Credits","MeetingType","Time","Days","Location","DateRange","ScheduleType","Instructors"
"10118","CS","302R","0","Formal Languages and Automata Theory Recitation","0.000","Class","5:40 pm - 6:30 pm","W","Fac.of Arts and Social Sci. 1010","Sep 28, 2026 - Dec 31, 2026","1st del","Kemal İnan (P)"
"10119","CS","303","A","Logic and Digital System Design","4.000","Class","9:40 am - 10:30 am","W","University Center G030","Sep 28, 2026 - Dec 31, 2026","1st del","Özcan Öztürk (P)"
"10119","CS","303","A","Logic and Digital System Design","4.000","Class","12:40 pm - 2:30 pm","R","University Center G030","Sep 28, 2026 - Dec 31, 2026","2nd del","Özcan Öztürk (P)"
"12542","CS","303","B","Logic and Digital System Design","4.000","Class","12:40 pm - 1:30 pm","M","University Center G030","Sep 28, 2026 - Dec 31, 2026","2nd del","Ayhan Bozkurt (P)"
"12542","CS","303","B","Logic and Digital System Design","4.000","Class","10:40 am - 12:30 pm","R","University Center G030","Sep 28, 2026 - Dec 31, 2026","1st del","Ayhan Bozkurt (P)"
"10123","CS","303L","A1","Logic and Digital System Design - Lab.","0.000","Class","1:40 pm - 3:30 pm","M","Fac. of Engin. and Nat. Sci. 1033","Sep 28, 2026 - Dec 31, 2026","1st del","Özcan Öztürk (P)"
"12545","CS","303L","A2","Logic and Digital System Design - Lab.","0.000","Class","1:40 pm - 3:30 pm","M","Fac. of Engin. and Nat. Sci. 2019","Sep 28, 2026 - Dec 31, 2026","1st del","Özcan Öztürk (P)"
"10129","CS","303L","B1","Logic and Digital System Design - Lab.","0.000","Class","12:40 pm - 2:30 pm","T","Fac. of Engin. and Nat. Sci. 1033","Sep 28, 2026 - Dec 31, 2026","1st del","Ayhan Bozkurt (P)"
"10130","CS","303L","B2","Logic and Digital System Design - Lab.","0.000","Class","12:40 pm - 2:30 pm","T","Fac.of Arts and Social Sci. G052","Sep 28, 2026 - Dec 31, 2026","1st del","Ayhan Bozkurt (P)"
"10122","CS","303L","C1","Logic and Digital System Design - Lab.","0.000","Class","10:40 am - 12:30 pm","W","Fac. of Engin. and Nat. Sci. 1033","Sep 28, 2026 - Dec 31, 2026","1st del","Özcan Öztürk (P)"
"12544","CS","303L","C2","Logic and Digital System Design - Lab.","0.000","Class","10:40 am - 12:30 pm","W","Fac.of Arts and Social Sci. 1102","Sep 28, 2026 - Dec 31, 2026","1st del","Özcan Öztürk (P)"
"10127","CS","303L","D1","Logic and Digital System Design - Lab.","0.000","Class","4:40 pm - 6:30 pm","W","Fac. of Engin. and Nat. Sci. 1033","Sep 28, 2026 - Dec 31, 2026","1st del","Ayhan Bozkurt (P)"
"12543","CS","303L","D2","Logic and Digital System Design - Lab.","0.000","Class","4:40 pm - 6:30 pm","W","Fac. of Engin. and Nat. Sci. 2019","Sep 28, 2026 - Dec 31, 2026","1st del","Ayhan Bozkurt (P)"
"10131","CS","303L","E1","Logic and Digital System Design - Lab.","0.000","Class","4:40 pm - 6:30 pm","R","Fac. of Engin. and Nat. Sci. 1033","Sep 28, 2026 - Dec 31, 2026","1st del","Özcan Öztürk (P)"
"10133","CS","303L","E2","Logic and Digital System Design - Lab.","0.000","Class","4:40 pm - 6:30 pm","R","Sabancı Business School L014","Sep 28, 2026 - Dec 31, 2026","1st del","Özcan Öztürk (P)"
