"Political Science and International Relations","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
EE 426,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 440,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 444,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 473,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 48001,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,
EE 48002,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,
EE 48004,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,
EE 48008,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 48009,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 48010,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EE 48011,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENG 101,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENG 102,F,F,F,F,F,F,,,,,,,,,,,,,
ENG 300,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 220,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 301,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 315,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 322,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 401,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 420,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 422,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,
ENRG 423,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ENRG 424,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
